name,category,amount,date,quantity,totalamount
Sneakers A,sale,18000,2024-01-05,20,360000
Sandals B,sale,12000,2024-01-10,22,264000
Boots C,sale,25000,2024-01-15,8,200000
Accessories D,sale,5000,2024-01-20,35,175000
Shoe Care Kit,sale,3000,2024-01-25,40,120000
Kids Shoes,sale,10000,2024-01-28,16,160000
Rent,expense,200000,2024-01-03,1,200000
Payroll,expense,350000,2024-01-03,1,350000
Utilities,expense,45000,2024-01-03,1,45000
Marketing,expense,60000,2024-01-12,1,60000
Miscellaneous,expense,25000,2024-01-18,1,25000
Sneakers A,sale,18000,2024-02-05,18,324000
Sandals B,sale,12000,2024-02-10,20,240000
Boots C,sale,25000,2024-02-15,7,175000
Accessories D,sale,5000,2024-02-20,32,160000
Shoe Care Kit,sale,3000,2024-02-25,36,108000
Kids Shoes,sale,10000,2024-02-28,14,140000
Rent,expense,200000,2024-02-03,1,200000
Payroll,expense,350000,2024-02-03,1,350000
Utilities,expense,43000,2024-02-03,1,43000
Marketing,expense,50000,2024-02-12,1,50000
Miscellaneous,expense,25000,2024-02-18,1,25000
Sneakers A,sale,18000,2024-03-05,21,378000
Sandals B,sale,12000,2024-03-10,23,276000
Boots C,sale,25000,2024-03-15,8,200000
Accessories D,sale,5000,2024-03-20,37,185000
Shoe Care Kit,sale,3000,2024-03-25,42,126000
Kids Shoes,sale,10000,2024-03-28,17,170000
Rent,expense,200000,2024-03-03,1,200000
Payroll,expense,350000,2024-03-03,1,350000
Utilities,expense,46000,2024-03-03,1,46000
Marketing,expense,70000,2024-03-12,1,70000
Miscellaneous,expense,25000,2024-03-18,1,25000
Sneakers A,sale,18000,2024-04-05,21,378000
Sandals B,sale,12000,2024-04-10,23,276000
Boots C,sale,25000,2024-04-15,8,200000
Accessories D,sale,5000,2024-04-20,37,185000
Shoe Care Kit,sale,3000,2024-04-25,42,126000
Kids Shoes,sale,10000,2024-04-28,17,170000
Rent,expense,200000,2024-04-03,1,200000
Payroll,expense,350000,2024-04-03,1,350000
Utilities,expense,46000,2024-04-03,1,46000
Marketing,expense,70000,2024-04-12,1,70000
Miscellaneous,expense,25000,2024-04-18,1,25000
Sneakers A,sale,18000,2024-05-05,22,396000
Sandals B,sale,12000,2024-05-10,24,288000
Boots C,sale,25000,2024-05-15,9,225000
Accessories D,sale,5000,2024-05-20,39,195000
Shoe Care Kit,sale,3000,2024-05-25,44,132000
Kids Shoes,sale,10000,2024-05-28,18,180000
Rent,expense,200000,2024-05-03,1,200000
Payroll,expense,350000,2024-05-03,1,350000
Utilities,expense,47000,2024-05-03,1,47000
Marketing,expense,75000,2024-05-12,1,75000
Miscellaneous,expense,25000,2024-05-18,1,25000
Sneakers A,sale,18000,2024-06-05,20,360000
Sandals B,sale,12000,2024-06-10,22,264000
Boots C,sale,25000,2024-06-15,8,200000
Accessories D,sale,5000,2024-06-20,35,175000
Shoe Care Kit,sale,3000,2024-06-25,40,120000
Kids Shoes,sale,10000,2024-06-28,16,160000
Rent,expense,200000,2024-06-03,1,200000
Payroll,expense,350000,2024-06-03,1,350000
Utilities,expense,45000,2024-06-03,1,45000
Marketing,expense,60000,2024-06-12,1,60000
Miscellaneous,expense,25000,2024-06-18,1,25000
Sneakers A,sale,18000,2024-07-05,20,360000
Sandals B,sale,12000,2024-07-10,22,264000
Boots C,sale,25000,2024-07-15,8,200000
Accessories D,sale,5000,2024-07-20,35,175000
Shoe Care Kit,sale,3000,2024-07-25,40,120000
Kids Shoes,sale,10000,2024-07-28,16,160000
Rent,expense,200000,2024-07-03,1,200000
Payroll,expense,350000,2024-07-03,1,350000
Utilities,expense,45000,2024-07-03,1,45000
Marketing,expense,60000,2024-07-12,1,60000
Miscellaneous,expense,25000,2024-07-18,1,25000
Sneakers A,sale,18000,2024-08-05,21,378000
Sandals B,sale,12000,2024-08-10,23,276000
Boots C,sale,25000,2024-08-15,8,200000
Accessories D,sale,5000,2024-08-20,37,185000
Shoe Care Kit,sale,3000,2024-08-25,42,126000
Kids Shoes,sale,10000,2024-08-28,17,170000
Rent,expense,200000,2024-08-03,1,200000
Payroll,expense,350000,2024-08-03,1,350000
Utilities,expense,46000,2024-08-03,1,46000
Marketing,expense,75000,2024-08-12,1,75000
Miscellaneous,expense,25000,2024-08-18,1,25000
Sneakers A,sale,18000,2024-09-05,20,360000
Sandals B,sale,12000,2024-09-10,22,264000
Boots C,sale,25000,2024-09-15,8,200000
Accessories D,sale,5000,2024-09-20,35,175000
Shoe Care Kit,sale,3000,2024-09-25,40,120000
Kids Shoes,sale,10000,2024-09-28,16,160000
Rent,expense,200000,2024-09-03,1,200000
Payroll,expense,350000,2024-09-03,1,350000
Utilities,expense,45000,2024-09-03,1,45000
Marketing,expense,60000,2024-09-12,1,60000
Miscellaneous,expense,25000,2024-09-18,1,25000
Sneakers A,sale,18000,2024-10-05,22,396000
Sandals B,sale,12000,2024-10-10,24,288000
Boots C,sale,25000,2024-10-15,9,225000
Accessories D,sale,5000,2024-10-20,39,195000
Shoe Care Kit,sale,3000,2024-10-25,44,132000
Kids Shoes,sale,10000,2024-10-28,18,180000
Rent,expense,200000,2024-10-03,1,200000
Payroll,expense,350000,2024-10-03,1,350000
Utilities,expense,47000,2024-10-03,1,47000
Marketing,expense,80000,2024-10-12,1,80000
Miscellaneous,expense,25000,2024-10-18,1,25000
Sneakers A,sale,18000,2024-11-05,24,432000
Sandals B,sale,12000,2024-11-10,26,312000
Boots C,sale,25000,2024-11-15,10,250000
Accessories D,sale,5000,2024-11-20,41,205000
Shoe Care Kit,sale,3000,2024-11-25,46,138000
Kids Shoes,sale,10000,2024-11-28,19,190000
Rent,expense,200000,2024-11-03,1,200000
Payroll,expense,350000,2024-11-03,1,350000
Utilities,expense,48000,2024-11-03,1,48000
Marketing,expense,90000,2024-11-12,1,90000
Miscellaneous,expense,25000,2024-11-18,1,25000
Sneakers A,sale,18000,2024-12-05,26,468000
Sandals B,sale,12000,2024-12-10,29,348000
Boots C,sale,25000,2024-12-15,11,275000
Accessories D,sale,5000,2024-12-20,45,225000
Shoe Care Kit,sale,3000,2024-12-25,52,156000
Kids Shoes,sale,10000,2024-12-28,21,210000
Rent,expense,200000,2024-12-03,1,200000
Payroll,expense,350000,2024-12-03,1,350000
Utilities,expense,50000,2024-12-03,1,50000
Marketing,expense,120000,2024-12-12,1,120000
Miscellaneous,expense,25000,2024-12-18,1,25000
